X,Y,FID,OBJECTID,TFM_ID,TFM_DESC,TFM_TYP_DE,MOVEMENT_T,SITE_DESC,ROAD_NBR,DECLARED_R,LOCAL_ROAD,DATA_SRC_C,DATA_SOURC,TIME_CATEG,YEAR_SINCE,LAST_YEAR,AADT_ALLVE,AADT_TRUCK,PER_TRUCKS,VSDATA_SITE
145.0244283534272,-37.73421290293493,7135,7806,6145,ALBERT ST 50M AFTER MALPAS ST,INTERSECTION,Scheduled PubTpt Bus flow,ALBERT ST 50M AFTER MALPAS ST,2140,PLENTY VALLEY HIGHWAY,ALBERT STREET,PUBTT,Other,Greater than 10 Years,0,0,0,0,0.0,6145
144.98735981543007,-37.83426169768196,7147,7810,6152,PUNT RD S BD BTWN ALEXANDRA AV & DOMAIN RD,INTERSECTION,Scheduled PubTpt Bus flow,PUNT RD BTWN ALEXANDRA AV & DOMAIN RD,2080,HODDLE HIGHWAY,PUNT ROAD,PUBTT,Other,Greater than 10 Years,0,0,0,0,0.0,6152
144.9658713391376,-37.80797139092878,7175,7905,6262,RUSSELL ST NW BD NW OF LATROBE ST,INTERSECTION,All Moves,RUSSELL ST NNW OF LATROBE ST,9999,Missing Data,RUSSELL STREET,MOTSV,Manual,Between 2 and 5 Years,5,2011,10000,470,0.05,6262
145.01146360512547,-37.74999229641018,7187,7907,5999,NEWCASTLE ST N BD BTW WALTON AVE & BELL ST,MIDBLOCK,All Moves,NEWCASTLE ST BTW WALTON AVE & BELL ST,9999,Missing Data,NEWCASTLE STREET,APARX,Classification,Between 2 and 5 Years,3,2013,2000,50,0.03,5999
145.52369450236125,-37.64686509931658,7200,7909,5911,ST LEONARDS RD N OF MAROONDAH HWY,INTERSECTION,All Moves,MAROONDAH HWY / DON RD / ST LEONARDS RD,9999,Missing Data,ST LEONARDS ROAD,SCATS,Scats,Greater than 10 Years,0,0,0,0,0.0,5911
145.43721028955522,-38.062614975073686,7225,7823,5827,CARDINIA RD N OF DAMON ST,INTERSECTION,All Moves,CARDINIA RD/DAMON ST,2460,BEACONSFIELD-NAR NAR GOON ROAD,PRINCES HIGHWAY,SCATS,Scats,Greater than 10 Years,0,0,0,0,0.0,5827
145.01885310639622,-37.774648795936095,7240,7631,6671,STATION ST 30M AFTER MITCHELL ST,INTERSECTION,Scheduled PubTpt Bus flow,STATION ST 30M AFTER MITCHELL ST,5860,FAIRFIELD-RESERVOIR ROAD,STATION STREET,PUBTT,Other,Greater than 10 Years,0,0,0,0,0.0,6671
145.2360041138277,-37.78986379646639,7249,7827,6138,RINGWOOD-WARRANDYTE RD 25M BEFORE WILLIAMS RD,INTERSECTION,Scheduled PubTpt Bus flow,RINGWOOD-WARRANDYTE RD 25M BEFORE WILLIAMS RD,5806,RINGWOOD-WARRANDYTE ROAD,WARRANDYTE ROAD,PUBTT,Other,Greater than 10 Years,0,0,0,0,0.0,6138
145.5414718388522,-38.31093120948919,7260,7726,5985,BASS HWY N BD S OF JETTY LA @ 85.5KM POST,INTERSECTION,All Moves,BASS HWY S OF JETTY LA @ 85.5KM POST,2710,BASS HIGHWAY,BASS HIGHWAY,MOTSV,Manual,Greater than 10 Years,0,0,0,0,0.0,5985
145.00244358601682,-37.68695209670752,7266,7727,6828,EDGARS RD N OF METROPOLITAN RING RD WEST BND,INTERSECTION,All Moves,EDGARS RD & METROPOLITAN RING RD WEST BND RAMPS,5000,EDGARS ROAD,EDGARS ROAD,TMVMT,Manual,Greater than 10 Years,0,0,0,0,0.0,6828
145.00699870300883,-37.85370919005969,7272,7728,6258,HIGH ST E BD BTW AIRLIE AVE & ORRONG RD,INTERSECTION,All Moves,HIGH ST BTW AIRLIE AVE & ORRONG RD,5801,HIGH STREET,HIGH STREET,MOTSV,Manual,Greater than 10 Years,0,0,0,0,0.0,6258
145.03423669805267,-37.86314817593856,7275,7921,6264,WATTLETREE RD W BD E OF GLENFERRIE RD,INTERSECTION,All Moves,WATTLETREE RD E OF GLENFERRIE RD,5089,WATTLETREE ROAD,WATTLETREE ROAD,MOTSV,Manual,Between 2 and 5 Years,5,2011,7900,90,0.01,6264
144.96289060985208,-37.80665622536291,7295,7924,6695,SWANSTON ST NE OF FRANKLIN ST,INTERSECTION,All Moves,SWANSTON ST/FRANKLIN ST,5082,VICTORIA STREET,VICTORIA STREET,SCATS,Scats,Greater than 10 Years,0,0,0,0,0.0,6695
144.32683480178522,-38.20076989933265,7315,7735,7047,CHURCH ST N OF PIONEER RD,INTERSECTION,All Moves,CHURCH ST & PIONEER RD,9999,Missing Data,CHURCH STREET,TMVMT,Manual,Greater than 10 Years,0,0,0,0,0.0,7047
145.1752660990666,-37.822310902130575,7355,7933,6812,SPRINGVALE RD N OF WEST ST,INTERSECTION,Incomplete Through,SPRINGVALE RD & WEST ST,2400,STATE (BELL/SPRINGVALE) HIGHWAY,SPRINGVALE ROAD,TMVMT,Manual,Greater than 10 Years,0,0,0,0,0.0,6812
144.96568521203412,-37.79321502940395,7356,7650,6071,CEMETERY RD EAST E of SWANSTON ST,INTERSECTION,All Moves,CEMETRY RD & SWANSTON ST,5081,CEMETERY ROAD EAST,CEMETERY ROAD E,TMVMT,Manual,Greater than 10 Years,21,1995,22000,1100,0.05,6071
144.82157631432736,-37.761185295531455,7397,7745,6827,WESTERN RING RD STH BND RAMPS N OF FURLONG RD DEPARTURE,INTERSECTION,Off Ramp,WESTERN RING RD STH BND RAMPS N OF FURLONG RD DEPARTURE,7570,2900R 5215B,WESTERN RING IN-FURLONG RAMP OF,TMVMT,Manual,Greater than 10 Years,0,0,0,0,0.0,6827
145.1345290533321,-38.129723280100016,7407,7746,6336,SKYE RD SE OF DANDENONG-FRANKSTON RO,INTERSECTION,Right Missing,DANDENONG-FRANKSTON RD/FRANKSTON FWY/SKYE RD,9999,Missing Data,SKYE ROAD,SCATS,Scats,Greater than 10 Years,0,0,0,0,0.0,6336
144.99604006045223,-37.81009300307469,7424,7748,6824,NICHOLSON ST N OF VICTORIA ST,INTERSECTION,All Moves,LENNOX ST & NICHOLSON ST & VICTORIA ST,9999,Missing Data,LENNOX STREET,TMVMT,Manual,Greater than 10 Years,0,0,0,0,0.0,6824
144.8466375196223,-37.817084203139686,7448,7660,6634,MCDONALD RD N BD N of PRINCES HWY,INTERSECTION,All Moves,MCDONALD RD N OF PRINCES HWY,5142,MCDONALD ROAD,MCDONALD ROAD,TMVMT,Manual,Greater than 10 Years,25,1991,9600,1400,0.15,6634
144.66121634191225,-37.90366197279823,7451,7751,5848,BRIDGE ST NO of PRINCES HWY,INTERSECTION,All Moves,BRIDGE ST & PRINCES HWY,9999,Missing Data,BRIDGE STREET,TMVMT,Manual,Greater than 10 Years,29,1987,2300,110,0.05,5848
144.83820699779105,-37.81980569792281,7460,7752,6065,PRINCES HWY NE OF GRIEVE PDE,INTERSECTION,All Moves,PRINCES HWY/GRIEVE PDE,2500,PRINCES HIGHWAY WEST,GEELONG ROAD,SCATS,Scats,Between 2 and 5 Years,3,2013,27000,0,0.0,6065
145.14192034264786,-37.930966890249806,7497,7666,6320,WESTALL RD N OF CENTRE RD,INTERSECTION,Left Missing,CENTRE RD/WESTALL RD,5056,WESTALL ROAD,WESTALL ROAD,SCATS,Scats,Between 2 and 5 Years,5,2011,19000,0,0.0,6320
144.87889505301487,-37.706684688827856,7525,7669,6243,BROADMEADOWS RD N OF SHARPS RD,INTERSECTION,All Moves,BROADMEADOWS RD & SHARPS RD,9999,Missing Data,BROADMEADOWS ROAD,TMVMT,Manual,Greater than 10 Years,26,1990,3500,0,0.0,6243
145.08418138728877,-37.70246939913492,7529,7759,6421,MACORNA RD N OF GRIMSHAW ST,INTERSECTION,All Moves,GRIMSHAW ST/WATSONIA RD/MACORNA ST,9999,Missing Data,MACORNA STREET,SCATS,Scats,Between 5 and 10 Years,8,2008,4100,0,0.0,6421
145.0641282225033,-37.9736008796216,7533,7953,6261,NEPEAN HWY NWBD SE OF JOHNSTON ST,INTERSECTION,All Moves,NEPEAN HWY SE OF JOHNSTON ST,2660,NEPEAN HIGHWAY,NEPEAN HIGHWAY,MOTSV,Manual,Greater than 10 Years,0,0,0,0,0.0,6261
145.14002446156908,-37.81217710038551,7546,7761,6246,MIDDLEBOROUGH RD N of SPRINGFIELD RD,INTERSECTION,All Moves,MIDDLEBOROUGH RD & SPRINGFIELD RD,5803,DONCASTER-MORDIALLOC ROAD,MIDDLEBOROUGH ROAD,TMVMT,Manual,Greater than 10 Years,25,1991,13000,0,0.0,6246
