Site,Samples,RMSE,MAE,MAPE (%),R2
4606,488,0.055181,0.044901,74.5795,0.797876
4048,488,0.056421,0.048901,77.125,0.825713
4564,488,0.057493,0.049385,24.3144,0.785882
4396,488,0.058083,0.047667,65.9587,0.828555
4023,488,0.058276,0.04971,104.0397,0.841666
4858,488,0.062135,0.050684,40.5663,0.786536
4814,488,0.064603,0.052921,79.5371,0.817353
1552,488,0.065238,0.054305,65.7485,0.727677
1242,488,0.065559,0.058434,93.7782,0.776752
182,488,0.065821,0.056869,113.7784,0.826526
2024,488,0.065909,0.05412,64.1613,0.786469
2745,488,0.066026,0.059092,320.9835,0.72036
3668,488,0.066802,0.058521,90.8344,0.827566
1782,488,0.066932,0.056553,86.3303,0.802234
4580,488,0.067573,0.054291,40.5006,0.747056
2808,488,0.067615,0.060837,196.213,0.74626
4336,488,0.069118,0.061883,221.4882,0.757974
3436,488,0.069214,0.056286,102.4545,0.782935
649,488,0.069603,0.060824,196.6374,0.811919
5386,488,0.069736,0.062032,166.6552,0.633616
5000,488,0.070064,0.056929,120.9249,0.713209
3424,488,0.07036,0.05869,83.2139,0.75876
4422,488,0.070452,0.063534,405.3151,0.731654
6600,488,0.070653,0.060587,204.832,0.75772
4917,488,0.070886,0.062223,366.1043,0.714606
6093,488,0.071148,0.063991,230.4137,0.770845
3832,488,0.071543,0.058969,82.2952,0.806766
5345,488,0.071709,0.061823,194.0637,0.717555
5239,488,0.072252,0.061748,62.2177,0.816598
2937,488,0.072595,0.056883,62.2052,0.726632
733,488,0.072644,0.06226,387.3577,0.818114
960,488,0.073256,0.067307,222.6879,0.551175
1961,488,0.073484,0.06274,195.7414,0.793455
4835,488,0.073875,0.068018,355.6423,0.559588
507,488,0.074176,0.067449,389.9242,0.635153
2356,488,0.074558,0.06379,136.1225,0.79694
3565,488,0.074738,0.061653,142.947,0.809765
154,488,0.074756,0.065873,363.8512,0.770624
4282,488,0.074975,0.056256,148.2481,0.687537
2195,488,0.075137,0.059351,81.3313,0.763842
2955,488,0.075257,0.062511,130.7364,0.804207
4587,488,0.075418,0.058552,48.6014,0.731187
4305,488,0.075498,0.062495,227.3847,0.781677
5112,488,0.075666,0.062082,156.3022,0.729654
5324,488,0.075721,0.060873,43.5409,0.720294
1371,488,0.075928,0.068766,433.663,0.578266
5070,488,0.07677,0.066912,226.5936,0.780626
3307,488,0.077192,0.064623,86.6508,0.763203
3404,488,0.077355,0.061702,61.3805,0.763058
407,488,0.078073,0.065347,181.1041,0.792273
4476,488,0.078107,0.067926,134.8187,0.715217
5365,488,0.078219,0.068712,576.5533,0.750532
3406,488,0.078233,0.064955,182.661,0.805722
1052,488,0.078461,0.062746,83.3672,0.788945
1347,488,0.078769,0.070908,513.5465,0.553788
3657,488,0.078817,0.070281,171.8109,0.813179
6216,488,0.079,0.064822,236.293,0.740708
3345,488,0.079043,0.066161,44.4929,0.795138
4234,488,0.079761,0.061899,111.6942,0.785712
3099,488,0.079948,0.06956,214.5901,0.808723
2877,488,0.079976,0.066429,121.6814,0.802447
5904,488,0.080368,0.071949,326.9972,0.770359
5833,488,0.080423,0.068199,242.7564,0.764938
1380,488,0.080603,0.068659,139.0726,0.708358
5841,488,0.080943,0.074009,314.8029,0.764504
571,488,0.081924,0.066142,99.652,0.749553
