Site,Samples,RMSE,MAE,MAPE (%),R2
4564,488,0.051897,0.042571,27.5291,0.825538
4048,488,0.061383,0.048524,109.368,0.79371
4606,488,0.061404,0.048528,97.9239,0.749717
4814,488,0.063194,0.050585,110.2776,0.825233
4396,488,0.063499,0.050093,89.1045,0.795095
4858,488,0.065228,0.052466,52.4757,0.764754
4023,488,0.065236,0.051606,150.034,0.801588
4580,488,0.066041,0.053301,50.895,0.7584
2024,488,0.066981,0.055179,87.9481,0.779469
3668,488,0.067795,0.05582,126.9369,0.822406
5324,488,0.068613,0.054519,51.7963,0.77034
1242,488,0.068629,0.057572,129.0335,0.755349
5239,488,0.06989,0.058773,86.5249,0.828389
182,488,0.070173,0.05775,165.4074,0.802825
4726,488,0.070221,0.058399,30.377,0.779566
1782,488,0.070885,0.058404,123.9502,0.778181
3832,488,0.071233,0.055969,117.9875,0.808435
3345,488,0.07226,0.060447,58.046,0.828786
1552,488,0.072461,0.060737,85.9243,0.664047
1052,488,0.073868,0.060209,115.8145,0.81293
3436,488,0.074037,0.058793,143.931,0.751632
2877,488,0.074267,0.06045,180.882,0.829645
3424,488,0.074404,0.05826,115.2666,0.730231
4587,488,0.075167,0.057771,62.777,0.732971
4895,488,0.075432,0.05705,47.7897,0.722261
1009,488,0.075624,0.064793,74.624,0.82854
3406,488,0.075727,0.061993,262.7024,0.817969
3404,488,0.076227,0.063259,84.1749,0.769918
4336,488,0.076316,0.064166,328.314,0.704943
3565,488,0.076358,0.060022,211.1722,0.801427
2808,488,0.076394,0.064777,294.3507,0.676096
733,488,0.076701,0.063026,607.7631,0.797235
2955,488,0.076872,0.06203,190.0187,0.795715
2937,488,0.077257,0.05933,86.3364,0.690399
3220,488,0.077272,0.057167,44.7726,0.78055
2195,488,0.077371,0.059995,112.3176,0.749586
649,488,0.077871,0.065293,288.837,0.764585
5345,488,0.07788,0.065003,286.8137,0.666845
4265,488,0.077909,0.063378,143.0027,0.818946
2356,488,0.07802,0.066026,197.2327,0.777643
3657,488,0.078082,0.066452,255.3923,0.816644
3307,488,0.078573,0.066707,121.1787,0.754653
1961,488,0.078793,0.065399,297.4068,0.762537
4234,488,0.078811,0.059999,161.6363,0.790788
2745,488,0.078815,0.065673,479.0243,0.60153
