Site,Samples,RMSE,MAE,MAPE (%),R2
32260,8,0.010029,0.009727,,
927,488,0.036351,0.026076,27.8146,0.802339
1347,488,0.037777,0.026671,47.1673,0.897364
960,488,0.04059,0.030468,31.4948,0.862208
5386,488,0.042398,0.030596,25.2297,0.86457
4835,488,0.043262,0.031051,41.6912,0.848965
2258,488,0.044217,0.036504,,
32126,488,0.044217,0.036504,,
32004,488,0.044217,0.036504,,
2990,488,0.044217,0.036504,,
32017,488,0.044217,0.036504,,
4276,488,0.044217,0.036504,,
5855,488,0.044217,0.036504,,
872,488,0.044217,0.036504,,
1591,488,0.044217,0.036504,,
32400,488,0.044217,0.036504,,
468,488,0.044217,0.036504,,
470,488,0.044217,0.036504,,
3517,488,0.044217,0.036504,,
3512,488,0.044217,0.036504,,
452,488,0.044217,0.036504,,
2761,488,0.044217,0.036504,,
2767,488,0.044217,0.036504,,
443,488,0.044217,0.036504,,
6405,488,0.044217,0.036504,,
32277,488,0.044217,0.036504,,
925,488,0.044217,0.036504,,
32077,488,0.044217,0.036504,,
940,488,0.044217,0.036504,,
5859,488,0.044217,0.036504,,
797,488,0.044217,0.036504,,
32274,488,0.044217,0.036504,,
7987,488,0.044217,0.036504,,
4195,488,0.044217,0.036504,,
2197,488,0.044217,0.036504,,
4394,488,0.044217,0.036504,,
5958,488,0.044217,0.036504,,
4127,488,0.044217,0.036504,,
6000,488,0.044217,0.036504,,
772,488,0.044217,0.036504,,
2370,488,0.044217,0.036504,,
4120,488,0.044217,0.036504,,
4099,488,0.044217,0.036504,,
4100,488,0.044217,0.036504,,
7050,488,0.044217,0.036504,,
4194,488,0.044217,0.036504,,
7230,488,0.044217,0.036504,,
2384,488,0.044217,0.036504,,
24426,488,0.044217,0.036504,,
2395,488,0.044217,0.036504,,
4069,488,0.044217,0.036504,,
7231,488,0.044217,0.036504,,
7232,488,0.044217,0.036504,,
1727,488,0.044217,0.036504,,
7233,488,0.044217,0.036504,,
7538,488,0.044217,0.036504,,
5479,488,0.044217,0.036504,,
9263,488,0.044217,0.036504,,
9901,488,0.044217,0.036504,,
9902,488,0.044217,0.036504,,
4508,488,0.044217,0.036504,,
933,488,0.044217,0.036504,,
3202,488,0.044217,0.036504,,
4302,488,0.044217,0.036504,,
632,488,0.044217,0.036504,,
3274,488,0.044217,0.036504,,
2810,488,0.044217,0.036504,,
6633,488,0.044217,0.036504,,
1938,488,0.044217,0.036504,,
1942,488,0.044217,0.036504,,
1955,488,0.044217,0.036504,,
4798,488,0.044217,0.036504,,
2774,488,0.044217,0.036504,,
2777,488,0.044217,0.036504,,
461,488,0.044217,0.036504,,
1216,488,0.044217,0.036504,,
5337,488,0.044217,0.036504,,
684,488,0.044217,0.036504,,
688,488,0.044217,0.036504,,
6096,488,0.044217,0.036504,,
1468,488,0.044217,0.036504,,
4056,488,0.044217,0.036504,,
4058,488,0.044217,0.036504,,
4031,488,0.044217,0.036504,,
6063,488,0.044217,0.036504,,
260,488,0.044217,0.036504,,
1756,488,0.044217,0.036504,,
5183,488,0.044217,0.036504,,
5501,488,0.044217,0.036504,,
3958,488,0.044217,0.036504,,
2142,488,0.044217,0.036504,,
5484,488,0.044217,0.036504,,
5510,488,0.044217,0.036504,,
5505,488,0.044217,0.036504,,
5512,488,0.044217,0.036504,,
2899,488,0.044217,0.036504,,
3630,488,0.044217,0.036504,,
3866,488,0.044217,0.036504,,
4993,488,0.044217,0.036504,,
5464,488,0.044217,0.036504,,
5465,488,0.044217,0.036504,,
3932,488,0.044217,0.036504,,
3944,488,0.044217,0.036504,,
2470,488,0.044217,0.036504,,
3978,488,0.044217,0.036504,,
4958,488,0.044217,0.036504,,
4941,488,0.044217,0.036504,,
1831,488,0.044217,0.036504,,
6703,488,0.044217,0.036504,,
4590,488,0.044217,0.036504,,
2094,488,0.044217,0.036504,,
3836,488,0.044217,0.036504,,
421,488,0.044217,0.036504,,
6314,488,0.044217,0.036504,,
471,488,0.044217,0.036504,,
475,488,0.044217,0.036504,,
477,488,0.044217,0.036504,,
484,488,0.044217,0.036504,,
485,488,0.044217,0.036504,,
486,488,0.044217,0.036504,,
2884,488,0.044217,0.036504,,
2833,488,0.044217,0.036504,,
1994,488,0.044217,0.036504,,
3458,488,0.044217,0.036504,,
3359,488,0.044217,0.036504,,
32001,488,0.044217,0.036504,,
3477,488,0.044217,0.036504,,
1538,488,0.044217,0.036504,,
32084,488,0.044217,0.036504,,
3020,488,0.044217,0.036504,,
32060,488,0.044217,0.036504,,
32057,488,0.044217,0.036504,,
625,488,0.044217,0.036504,,
3847,488,0.044217,0.036504,,
6234,488,0.044217,0.036504,,
6674,488,0.044217,0.036504,,
4623,488,0.044217,0.036504,,
2077,488,0.044217,0.036504,,
5435,488,0.044217,0.036504,,
580,488,0.044217,0.036504,,
589,488,0.044217,0.036504,,
4663,488,0.044217,0.036504,,
1079,488,0.044217,0.036504,,
6248,488,0.044217,0.036504,,
4631,488,0.044217,0.036504,,
1110,488,0.044217,0.036504,,
1137,488,0.044217,0.036504,,
2589,488,0.044217,0.036504,,
1850,488,0.044217,0.036504,,
3743,488,0.044217,0.036504,,
2669,488,0.044217,0.036504,,
2689,488,0.044217,0.036504,,
349,488,0.044217,0.036504,,
553,488,0.044217,0.036504,,
3724,488,0.044217,0.036504,,
6266,488,0.044217,0.036504,,
4889,488,0.044217,0.036504,,
350,488,0.044217,0.036504,,
2051,488,0.044217,0.036504,,
4642,488,0.044217,0.036504,,
1314,488,0.044217,0.036504,,
4860,488,0.044217,0.036504,,
4673,488,0.044217,0.036504,,
1876,488,0.044217,0.036504,,
4683,488,0.044217,0.036504,,
2030,488,0.044217,0.036504,,
2033,488,0.044217,0.036504,,
2039,488,0.044217,0.036504,,
534,488,0.044217,0.036504,,
546,488,0.044217,0.036504,,
384,488,0.044217,0.036504,,
388,488,0.044217,0.036504,,
5317,488,0.044217,0.036504,,
1891,488,0.044217,0.036504,,
1900,488,0.044217,0.036504,,
1934,488,0.044217,0.036504,,
197,488,0.044217,0.036504,,
4705,488,0.044217,0.036504,,
4714,488,0.044217,0.036504,,
2016,488,0.044217,0.036504,,
1543,488,0.044217,0.036504,,
5084,488,0.044217,0.036504,,
1574,488,0.044217,0.036504,,
32405,488,0.044217,0.036504,,
5101,488,0.044217,0.036504,,
3153,488,0.044217,0.036504,,
3135,488,0.044217,0.036504,,
3140,488,0.044217,0.036504,,
5834,488,0.044217,0.036504,,
4312,488,0.044217,0.036504,,
3100,488,0.044217,0.036504,,
2066,488,0.044217,0.036504,,
32224,488,0.044217,0.036504,,
32159,488,0.044217,0.036504,,
32222,488,0.044217,0.036504,,
32170,488,0.044217,0.036504,,
3031,488,0.044217,0.036504,,
32081,488,0.044217,0.036504,,
32083,488,0.044217,0.036504,,
32061,488,0.044217,0.036504,,
32228,488,0.044217,0.036504,,
6093,488,0.045475,0.032337,25.1047,0.906383
507,488,0.045601,0.031373,37.9179,0.862112
2951,488,0.045632,0.034033,34.7719,0.599584
1371,488,0.046271,0.032826,52.693,0.84338
2745,488,0.047082,0.034905,39.3182,0.857805
5365,488,0.047152,0.031183,45.6705,0.909346
4422,488,0.047622,0.034163,45.6593,0.877387
4336,488,0.047779,0.035727,29.543,0.884349
6600,488,0.047994,0.033574,27.4186,0.888203
1242,488,0.049521,0.03903,23.5497,0.872618
182,488,0.049538,0.038996,22.615,0.901739
733,488,0.049744,0.03758,38.1977,0.914713
2808,488,0.049759,0.036378,27.8435,0.86258
4048,488,0.050071,0.040444,22.0041,0.862737
4917,488,0.050104,0.034574,45.7436,0.857419
154,488,0.050687,0.033833,31.2713,0.894551
5841,488,0.050833,0.03425,32.9553,0.907123
4023,488,0.051617,0.040687,21.0232,0.875784
5890,200,0.052002,0.044267,,
6002,488,0.052213,0.035008,35.9263,0.940745
32011,257,0.052828,0.046294,,
5904,488,0.05313,0.034924,41.2701,0.899642
5070,488,0.053426,0.038779,33.1186,0.893754
3668,488,0.053591,0.042594,21.3053,0.889026
5241,488,0.053691,0.035846,99.0085,0.886384
649,488,0.054375,0.039063,26.9188,0.885214
4396,488,0.054698,0.043175,21.1788,0.847956
3657,488,0.054894,0.041187,23.3374,0.909378
226,488,0.055321,0.039691,24.6223,0.918475
1052,488,0.055472,0.043244,22.752,0.894505
2024,488,0.056147,0.044213,23.4065,0.84504
5833,488,0.056244,0.037255,26.183,0.88503
1961,488,0.056652,0.040219,24.0092,0.877241
3406,488,0.056764,0.043282,30.8419,0.897721
1047,488,0.056927,0.038115,30.2128,0.901633
3627,488,0.057146,0.036521,29.3394,0.889579
4972,488,0.057153,0.041395,17.4324,0.939567
1782,488,0.057239,0.044325,22.9703,0.855365
5239,488,0.057347,0.046158,21.5415,0.884461
6219,488,0.057444,0.038965,28.4974,0.906628
2486,488,0.057468,0.041133,85.0185,0.848408
6677,488,0.057849,0.041154,24.7799,0.909296
6655,488,0.057963,0.03912,29.7201,0.890804
3565,488,0.058053,0.041465,22.0389,0.885221
3099,488,0.058213,0.042366,27.5359,0.89859
6216,488,0.058463,0.036175,27.5585,0.857998
2356,488,0.058594,0.043014,25.8726,0.874588
231,488,0.058941,0.044233,22.8434,0.910119
4606,488,0.059109,0.046969,27.5356,0.768077
5345,488,0.059145,0.042855,30.2303,0.807858
4476,488,0.059277,0.041935,32.0724,0.835974
4814,488,0.0593,0.047622,23.7891,0.846108
1440,488,0.059356,0.039093,33.5859,0.869375
1203,488,0.059456,0.041333,33.8955,0.912678
5661,488,0.05965,0.039646,36.1221,0.916323
1592,488,0.060261,0.042579,36.2156,0.902446
144,488,0.060453,0.046925,22.4981,0.911314
5840,488,0.060474,0.041395,36.5035,0.92321
5482,488,0.060516,0.038992,37.3264,0.889556
988,488,0.060698,0.040205,37.1399,0.920511
2877,488,0.060718,0.04845,22.1482,0.886135
6678,488,0.060872,0.041618,29.5202,0.897309
3480,488,0.061211,0.046736,24.9015,0.898945
1108,488,0.061264,0.047686,20.7497,0.921163
5662,488,0.061329,0.040116,41.3588,0.907737
2955,488,0.061608,0.044002,23.7347,0.868789
3345,488,0.061669,0.049824,23.2704,0.875298
2233,488,0.062002,0.044993,26.7906,0.891885
4280,488,0.062009,0.046355,25.3478,0.893687
6068,488,0.062052,0.044533,23.822,0.933782
6724,488,0.062146,0.041164,35.5281,0.8979
3424,488,0.062436,0.0435,23.7813,0.81004
4564,488,0.062721,0.053922,20.886,0.745173
2346,488,0.062776,0.043744,28.8866,0.925278
1449,488,0.062918,0.041485,30.2625,0.918994
3027,488,0.063034,0.043981,30.7348,0.91521
5330,488,0.063247,0.049196,24.6187,0.887405
3832,488,0.06344,0.046826,21.7476,0.848055
5000,488,0.063487,0.041777,23.9032,0.764527
520,488,0.063498,0.046486,22.2041,0.924333
817,488,0.063773,0.037481,51.6548,0.885256
3436,488,0.063775,0.046547,32.8101,0.815713
5658,488,0.063895,0.043267,30.6997,0.921843
3705,488,0.063926,0.048915,27.4825,0.90727
2351,488,0.063927,0.045491,33.0127,0.895567
2890,488,0.063966,0.042153,16.3096,0.908677
1390,488,0.063993,0.048243,27.5082,0.907695
4265,488,0.064017,0.048598,23.5768,0.877756
1009,488,0.064029,0.051127,21.1347,0.877089
5031,488,0.06404,0.044407,27.9907,0.88705
1109,488,0.06407,0.047091,25.6806,0.907024
3910,488,0.064112,0.045082,26.2584,0.903563
3449,488,0.064242,0.047333,25.1744,0.911614
235,488,0.064433,0.04627,23.3879,0.919163
682,488,0.06455,0.049471,22.5285,0.914297
4305,488,0.064573,0.044167,31.8364,0.840289
1147,488,0.064638,0.045487,23.8284,0.914663
361,488,0.06472,0.047133,28.9778,0.925405
6816,488,0.064792,0.045287,36.9604,0.901413
3618,488,0.064838,0.051015,34.8508,0.891133
5611,488,0.065059,0.046197,60.6306,0.901725
4626,488,0.065164,0.048971,21.798,0.913856
6067,488,0.065253,0.045946,24.8006,0.884088
6676,488,0.065297,0.045037,25.0284,0.915913
3043,488,0.065347,0.046474,28.8232,0.918415
4347,488,0.065356,0.047377,28.8381,0.896492
1754,488,0.06543,0.040384,40.4053,0.845208
967,488,0.065434,0.04342,27.8861,0.90143
6681,488,0.06544,0.046406,26.2154,0.891284
2755,488,0.065488,0.043766,36.3397,0.879297
407,488,0.06556,0.04756,28.8037,0.853525
3649,488,0.065568,0.045319,40.2009,0.868522
6333,488,0.065569,0.051416,21.9303,0.884608
5112,488,0.065705,0.045463,39.3756,0.796151
1770,488,0.065718,0.043327,24.4028,0.848156
312,488,0.06588,0.045518,23.8641,0.914169
2976,488,0.065955,0.045417,23.1198,0.89758
3326,488,0.066146,0.045229,24.6407,0.844066
3464,488,0.066161,0.046637,30.2498,0.861717
3040,488,0.066213,0.046875,30.3247,0.916177
6630,488,0.066244,0.051593,23.6967,0.893692
3924,488,0.066272,0.043526,27.2636,0.864889
3771,488,0.066341,0.052148,23.6886,0.89228
4172,488,0.066343,0.047855,21.7585,0.920338
5099,488,0.066344,0.044634,28.6755,0.886841
4435,488,0.066363,0.051325,22.7746,0.899085
4077,488,0.066423,0.0459,28.2069,0.879578
4447,488,0.066481,0.04913,25.6232,0.913968
1053,488,0.066497,0.048243,25.9561,0.86775
5336,488,0.066512,0.04948,24.3477,0.905242
1227,488,0.066546,0.051246,22.137,0.881981
309,488,0.066714,0.045818,24.2751,0.913766
4234,488,0.066761,0.045782,24.0278,0.849874
5340,488,0.066807,0.042747,29.6003,0.881287
4434,488,0.066947,0.052754,21.8041,0.897857
3307,488,0.066978,0.048342,26.1702,0.821725
3778,488,0.066996,0.052322,26.0207,0.89494
4452,488,0.067051,0.042845,35.3804,0.795873
5039,488,0.06718,0.050432,26.9073,0.908634
6285,488,0.067319,0.04609,36.4811,0.884691
756,488,0.067335,0.04993,24.3803,0.926827
1487,488,0.067372,0.04617,37.7206,0.916614
1139,488,0.067407,0.048712,23.2037,0.911567
5865,488,0.067434,0.052815,23.9515,0.885378
1361,488,0.06753,0.046381,45.7599,0.926197
6689,488,0.067546,0.050422,22.0094,0.926675
6657,488,0.067567,0.042822,28.2066,0.905221
4764,488,0.067594,0.055364,20.0447,0.893675
5140,488,0.067698,0.043572,34.463,0.891544
5481,488,0.067702,0.046926,27.9636,0.909373
4262,488,0.067825,0.051883,21.0284,0.889523
2887,488,0.067863,0.049105,24.0284,0.908778
3004,488,0.067873,0.052884,19.2851,0.893219
3760,488,0.067958,0.051543,22.8082,0.895057
1762,488,0.06799,0.045165,28.0236,0.867756
5130,488,0.068034,0.047224,29.7347,0.897869
1481,488,0.068124,0.047635,29.7701,0.86724
6820,488,0.068182,0.049008,24.6016,0.937317
299,488,0.068211,0.046962,31.8679,0.932447
3286,488,0.068264,0.050508,31.7379,0.841024
5402,488,0.068298,0.045448,31.157,0.870705
1377,488,0.068477,0.045022,48.2059,0.875531
2072,488,0.068503,0.046147,29.5497,0.886043
681,488,0.06854,0.049909,32.3906,0.872766
3827,488,0.068584,0.049833,29.6717,0.916837
2888,488,0.068593,0.045715,29.6318,0.897295
5360,488,0.068653,0.046883,32.3292,0.891914
4858,488,0.068726,0.053893,22.2755,0.738849
4440,488,0.068775,0.0516,24.5371,0.886059
5850,488,0.068804,0.049483,21.6492,0.921482
6821,488,0.068831,0.049667,25.0736,0.931003
